Name,Country,Gender,Flights,Total Flights,Total Flight Time (ddd:hh:mm),Year,Group,Status,Birth Date,Birth Place,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
Thomas Akers,United States,Man,"STS-41 (1990), STS-49 (1992), STS-61 (1993), STS-79 (1996)",4,034:00:44,1987.0,12.0,Retired,5/20/1951,Missouri,University of Missouri-Rolla,Applied Mathematics,Applied Mathematics,Colonel,US Air Force (Retired),4,814,4,29.0,"STS-41 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-79 (Atlantis)",0,0
Thomas D. Jones,United States,Man,"STS-59 (1994), STS-68 (1994), STS-80 (1996), STS-98 (2001)",4,053:00:49,1990.0,13.0,Retired,1/22/1955,Maryland,US Air Force Academy; University of Arizona,0,Planetary Science,0,0,4,1272,3,20.0,"STS-59 (Endeavor), STS-68 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis)",0,0
Thomas Hennen,United States,Man,STS-44 (1991),1,006:22:50,0.0,0.0,Retired,8/17/1952,Georgia,0,0,0,Chief Warrant Officer,US Army (Retired),1,166,0,0.0,STS-44 (Atlantis),0,0
"Thomas Kenneth ""Ken"" Mattingly II",United States,Man,"Apollo 16 (1972), STS-4 (1982), STS-51-C (1985)",3,021:04:33,1966.0,5.0,Retired,3/17/1936,Illinois,Auburn University,Aeronautical Engineering,0,Rear Admiral,US Navy (Retired),3,508,1,1.0,"Apollo 16, STS-4 (Columbia), STS 51-C (Discovery)",0,0
Thomas Patten Stafford,United States,Man,"Gemini 6A (1965), Gemini 9A (1966), Apollo 10 (1969), Apollo-Soyuz Test Project (1975)",4,021:03:43,1962.0,2.0,Retired,9/17/1930,Oklahoma,US Naval Academy,0,0,Lieutenant General,US Air Force (Retired),4,507,0,0.0,"Gemini 6, Gemini 9, Apollo 10, Apollo-Soyuz Test Project",0,0
Timothy Creamer,United States,Man,Soyuz TMA-17 (2009),1,163:05:33,1998.0,17.0,Management,11/15/1959,Arizona,Loyola College; MIT,Chemistry,Physics,Colonel,US Army (Retired),1,3917,0,0.0,ISS-22/23 (Soyuz),0,0
Timothy L. Kopra,United States,Man,"STS-127 (2009), Soyuz TMA-19M (2015)",2,244:01:01,2000.0,18.0,Active,4/9/1963,Texas,US Military Academy; Georgia Institute of Technology; US Army War College,Computer Science,Aerospace Engineering; Strategic Studies,Colonel,US Army (Retired),2,5857,3,13.0,"STS-127/128 (Endeavor/Discovery), ISS-46/47 (Soyuz)",0,0
Vance Brand,United States,Man,"Apollo-Soyuz Test Project (1975), STS-5 (1982), STS-41-B (1984), STS-35 (1990)",4,031:02:03,1966.0,5.0,Retired,5/9/1931,California,University of Colorado; University of California Los Angeles,Business Management; Aeronautical Engineering,Business Administration,0,US Marine Corps Reserves,4,752,0,0.0,"Apollo-Soyuz Test Project, STS-5 (Columbia), STS 41-B (Challenger), STS-35 (Columbia)",0,0
"Virgil I. ""Gus"" Grissom",United States,Man,"Mercury-Redstone 4 (1961), Gemini 3 (1965)",2,000:05:08,1959.0,1.0,Deceased,4/3/1926,Indiana,Purdue University,Mechanical Engineering,0,Lieutenant Colonel,US Air Force,2,5,0,0.0,"Mercury 4, Gemini 3, Apollo 1",1/27/1967,Apollo 1
Walter Cunningham,United States,Man,Apollo 7 (1968),1,010:20:09,1963.0,3.0,Retired,3/16/1932,Iowa,University of California-Los Angeles,Physics,Physics,Colonel,US Marine Corps Reserves,1,260,0,0.0,Apollo 7,0,0
Wendy Lawrence,United States,Woman,"STS-67 (1995), STS-86 (1997), STS-91 (1998), STS-114 (2005)",4,052:03:55,1992.0,14.0,Retired,7/2/1959,Florida,US Naval Academy; MIT,Ocean Engineering,Ocean Engineering,Captain,US Navy (Retired),4,1223,0,0.0,"STS-67 (Endeavor), STS-86 (Atlantis), STS-91 (Discovery), STS-114 (Discovery)",0,0
William Anders,United States,Man,Apollo 8 (1968),1,006:03:00,1963.0,3.0,Retired,10/17/1933,Hong Kong,US Naval Academy; Air Force Institute of Technology,Nuclear Engineering,Nuclear Engineering,Major General,US Air Force Reserves (Retired),1,147,0,0.0,Apollo 8,0,0
William B. Lenoir,United States,Man,STS-5 (1982),1,005:02:14,1967.0,6.0,Deceased,3/14/1939,Florida,MIT,Electrical Engineering,Electrical Engineering,0,0,1,122,0,0.0,STS-5 (Columbia),8/26/2012,0
William C. McCool,United States,Man,STS-107 (2003),1,015:22:20,1996.0,16.0,Deceased,9/23/1961,California,US Naval Academy; University of Maryland; US Naval Postgraduate School,Naval Sciences,Computer Science; Aeronautical Engineering,Commander,US Navy,1,382,0,0.0,STS-107 (Columbia),2/1/2003,STS-107 (Columbia)
William Gregory,United States,Man,STS-67 (1995),1,016:15:08,1990.0,13.0,Retired,5/14/1957,New York,US Air Force Academy; Columbia University; Troy State University,Engineering Science,Engineering Mechanics; Business Management,Lieutenant Colonel,US Air Force,1,399,0,0.0,STS-67 (Endeavor),0,0
William Oefelein,United States,Man,STS-116 (2006),1,012:20:44,1998.0,17.0,Retired,3/29/1965,Virginia,Oregon State University; University of Tennessee,Electrical Engineering,Aviation Systems,Commander,US Navy (Retired),1,308,0,0.0,STS-116 (Discovery),0,0
William Pailes,United States,Man,STS-51-J (1985),1,004:01:44,0.0,0.0,Retired,6/26/1952,New Jersey,US Air Force Academy; Texas A&M University,Computer Science,Computer Science,Colonel,US Air Force (Retired),1,97,0,0.0,STS 51-J (Atlantis),0,0
William Pogue,United States,Man,Skylab 4 (1973),1,084:01:15,1966.0,5.0,Retired,1/23/1930,Oklahoma,Oklahoma Baptist University; Oklahoma State University,Education,Mathematics,Colonel,US Air Force (Retired),1,2017,2,13.0,Skylab 4,0,0
William Readdy,United States,Man,"STS-42 (1992), STS-51 (1993), STS-79 (1996)",3,028:00:44,1987.0,12.0,Retired,1/24/1952,Rhode Island,US Naval Academy,Aerospace Engineering,0,Captain,US Navy (Retired),3,672,0,0.0,"STS-42 (Discovery), STS-51 (Discovery), STS-79 (Atlantis)",0,0
William Shepherd,United States,Man,"STS-27 (1988), STS-41 (1990), STS-52 (1992), Soyuz TM-31 (2000)",4,159:05:55,1984.0,10.0,Retired,7/26/1949,Tennessee,US Naval Academy; MIT,Aerospace Engineering,Mechanical  Engineering,Captain,US Navy (Retired),4,3823,0,0.0,"STS-37 (Atlantis), STS-41 (Discovery), STS-52 (Columbia), ISS-01/STS-102 (Soyuz/Discovery)",0,0
Winston Scott,United States,Man,"STS-72 (1996), STS-87 (1997)",2,024:14:34,1992.0,14.0,Retired,8/6/1950,Florida,Florida State University; US Naval Postgraduate School,Music,Aeronautical Engineering,Captain,US Navy (Retired),2,590,3,19.0,"STS-72 (Endeavor), STS-87 (Columbia)",0,0
